Crome	start	end
1	0.000	298.579
2	298.580	572.719
3	572.720	818.017
4	818.018	1051.038
5	1051.039	1268.065
6	1268.066	1490.311
7	1490.312	1688.393
8	1688.394	1869.729
9	1869.730	2067.726
10	2067.727	2250.981
11	2250.982	2438.405
12	2438.406	2622.437
13	2622.438	2760.937
14	2760.938	2891.192
15	2891.193	3033.696
16	3033.697	3168.482
17	3168.483	3328.448
18	3328.449	3459.524
19	3459.525	3577.771
20	3577.772	3687.218
21	3687.219	3755.372
22	3755.373	3840.411
23	3840.412	4021.941

Fam	Chr	Size
181	1	39.024
832	1	21.710
8422	1	4.560
454	1	103.928
17	1	16.588
382	1	17.733
25	1	19.241
19	1	14.251
192	1	56.936
8450	2	13.917
383	2	26.525
423	2	71.396
832	2	23.370
356	2	29.982
103	3	113.987
119	3	13.581
382	3	21.192
411	3	33.128
110	4	10.667
379	4	155.579
87	5	39.182
431	5	10.763
25	5	44.676
323	5	71.810
349	5	62.937
267	5	23.864
130	6	34.284
103	6	50.545
431	6	8.314
181	6	12.717
220	6	6.412
323	6	101.766
349	6	36.031
220	7	36.798
18	7	15.373
8426	7	5.849
18	7	5.122
430	8	128.732
210	8	61.065
93	8	17.964
17	8	129.449
19	9	61.066
298	9	100.060
383	9	16.537
87	9	18.069
8426	10	41.632
206	10	4.729
454	10	174.792
119	10	9.636
206	10	56.692
193	12	87.465
210	13	42.848
356	14	49.051
430	14	130.255
298	15	28.020
130	15	33.290
8422	16	26.025
379	16	37.724
423	17	22.353
192	18	55.265
267	18	27.050
193	18	17.075
110	20	33.873
411	21	17.751
8450	21	29.051
93	23	78.923
